i,x,y,z,dx,dy,dz,radius,rmse,bend
50,-115.21718212770688,-107.02165827213521,3.207201770645714e-10,0.6505378072209338,0.7594738714242769,-1.5696978887014878e-10,2.0000023760097343,1.6548510188758137e-06,1
51,-113.85152528506521,-105.57310687761871,-1.3920025252331815e-09,0.7207706818332802,0.6931735887997956,-9.490483533085864e-11,2.000000357023368,2.5023287940450826e-07,1
52,-112.37466971397312,-104.28798086169421,-5.3557217050805805e-11,0.7863067883461164,0.6178362522552522,4.960456127378377e-10,2.000000679919806,4.749634229607312e-07,1
53,-110.74075764586397,-103.12883824312867,5.704409669796608e-10,0.8419974510521333,0.5394815033175006,-4.963571722492373e-10,2.0000043953873843,3.0603577966996786e-06,1
54,-109.10251015558562,-102.1914548503057,-1.9824940131420932e-09,0.8918025362097156,0.4524248406198744,2.968549215688628e-10,2.0000048040111507,3.3426608918914326e-06,1
55,-107.27038726602287,-101.36826715004274,1.7256255342955515e-09,0.9315820864275378,0.36353103890495414,2.0324897150644195e-10,1.9999999988829638,1.1079234173274545e-08,1
56,-105.36541265470659,-100.73312825002351,-1.167148554551591e-09,0.9633285299261517,0.26832469776433054,-2.154357888595544e-11,2.0000000007234946,6.517957642808297e-09,1
57,-103.4085623437602,-100.29259776738226,1.6392608858169142e-09,0.9853608876525863,0.17048143912023747,-2.7264377349481146e-10,1.9999999997394968,1.271131818636125e-08,1
58,-101.41959010229769,-100.0504448639899,-2.2589352935123445e-09,0.9973258442264515,0.07308324320934209,-4.094443477015128e-10,2.000002326153688,1.6194470443347484e-06,1
59,-99.41564546488782,-99.99999999999997,-4.161791803790537e-20,0.999920948063865,0.012573687727203577,5.630542193587247e-10,2.0000760175449974,5.6886238340572685e-05,1
60,-97.40796858599211,-99.99999999999997,3.701214902026432e-15,1.0,0.0,-1.0631747898907509e-17,2.0,3.400953306468319e-15,1
61,-95.40022987850003,-99.99999999999997,-4.2732504141856744e-17,1.0,0.0,-9.325859447109921e-16,2.0,2.0102278077384043e-15,1
62,-93.39249117100796,-99.99999999999997,-4.356289649221139e-17,1.0,0.0,0.0,2.0,2.0102278077384043e-15,1
63,-91.38475246351588,-99.99999999999997,-4.2732504141856744e-17,1.0,0.0,2.5609603750009313e-15,2.0,2.0102278077384043e-15,1
64,-89.37701375602379,-99.99999999999997,1.0239915649993434e-14,1.0,0.0,-1.2739628996509077e-16,1.9999999999999998,7.608190666698927e-15,1
65,-87.3692750485317,-99.99999999999997,-5.54289429249454e-16,1.0,0.0,-1.6273529349052148e-15,1.9999999999999996,1.982921726761039e-15,1
66,-85.36153634103961,-99.99999999999997,3.705316693673331e-15,1.0,0.0,1.2739628996509124e-16,2.0,3.400953306468319e-15,1
67,-83.35379763354754,-99.99999999999997,-4.2732504141856744e-17,1.0,0.0,-1.5133336184230507e-15,2.0,2.0102278077384043e-15,1
68,-81.34605892605548,-99.99999999999997,-2.3714402724406454e-15,1.0,0.0,4.779463280370168e-16,1.9999999999999993,2.6040679147241926e-15,1
69,-79.33832021856338,-99.99999999999997,1.8764501816653957e-15,1.0,0.0,5.399756957818374e-16,2.0,2.469898361004415e-15,0
70,-77.33058151107133,-99.99999999999997,-2.0318006138832643e-16,1.0,0.0,0.0,2.0,2.028071805586845e-15,0
71,-75.32284280357925,-99.99999999999997,1.8764501816653957e-15,1.0,0.0,3.079358486329002e-17,2.0,2.469898361004415e-15,0
72,-73.31510409608715,-99.99999999999997,-7.952911684338679e-17,1.0,0.0,-4.779463280370168e-16,2.0,2.0102278077384043e-15,0
73,-71.30736538859509,-99.99999999999997,-4.2732504141856744e-17,1.0,0.0,2.7444297344450176e-18,2.0,2.0102278077384043e-15,0
74,-69.29962668110302,-99.99999999999997,-6.850892122771192e-17,1.0,0.0,0.0,2.0,2.0102278077384043e-15,0
75,-67.29188797361093,-99.99999999999997,-4.2732504141856744e-17,1.0,0.0,5.203717845891388e-16,2.0,2.0102278077384043e-15,0
76,-65.28414926611883,-99.99999999999997,2.021032227184993e-15,1.0,0.0,0.0,1.9999999999999998,2.449080990909406e-15,0
77,-63.276410558626765,-99.99999999999997,-4.2732504141856744e-17,1.0,0.0,-2.86031779378984e-16,2.0,2.0102278077384043e-15,0
78,-61.26867185113467,-99.99999999999997,8.724780771209503e-16,1.0,0.0,-1.2739628996509124e-16,2.0,2.1313346184740892e-15,0
79,-59.2609331436426,-99.99999999999997,-5.54289429249454e-16,1.0,0.0,1.2891604617104804e-16,1.9999999999999996,1.982921726761039e-15,0
80,-57.25319443615056,-99.99999999999997,1.3901375489498427e-15,1.0,0.0,0.0,1.9999999999999998,2.197266584639385e-15,0
81,-55.24545572865847,-99.99999999999997,-5.54289429249454e-16,1.0,0.0,-6.138434149590293e-17,1.9999999999999996,1.982921726761039e-15,0
82,-53.2377170211664,-99.99999999999997,1.1436501120393695e-15,1.0,0.0,4.611652728634616e-16,1.9999999999999998,2.1183943326422897e-15,0
83,-51.22997831367431,-99.99999999999997,1.2975093085087839e-15,1.0,0.0,-4.449658806563071e-16,2.0,2.216385752803072e-15,0
