i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,1.7763568394002486e-16,-1.0000000116860974e-07,8.682267638965107e-18,1.644261255056893e-17,6.206201038361982e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999993,2.4049357104613274e-16,0
6,-1.26183414743959e-16,11.405262387335892,1.3351272631493804e-15,5.4187350524567026e-17,2.4317272409621717e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999993,9.535596317390917e-16,0
12,-2.6116814924330746e-16,23.40764160587194,4.668282228221689e-19,3.7256345524638804e-17,4.124827740954994e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,4.419490084300652e-16,0
19,-1.4685603783099727e-16,35.41002082440799,1.2874985159075813e-16,7.189787155986017e-18,7.131483577820273e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,4.073404867329338e-16,0
25,-2.2368300553341026e-17,47.41240004294403,1.2612597588025724e-15,4.900059149288477e-17,2.9504031441303983e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,2.0,1.0890986218937751e-15,0
31,-2.664535259100371e-16,59.41477926148009,1.1067432074720644e-15,3.1830498913338994e-17,4.667412402084976e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,2.0,9.495739940998025e-16,0
37,4.2188474935755947e-16,71.41715848001614,2.0936062049185616e-16,4.719211499513806e-17,3.1312507939050683e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999993,4.1426461699091414e-16,1
43,-2.2862690882757135e-16,83.41953769855219,9.032679975251122e-16,6.940525297104382e-05,-7.032970013817274e-05,0.7042139973944174,0.7099877718034444,-90.61296793994364,0.011322757035969744,-179.85487345959132,1.9999999999999998,7.108895957933346e-16,1
51,1.8106402336327099,95.73855894169873,-8.32346396159295e-08,0.0011086047765804811,-0.0007685877525895923,0.42826103196948495,0.9036540647641373,-99.37601648690476,0.15458111594151092,150.09056867463448,5.737267649780257,2.178025570321638,1
57,12.1421122494559,100.0,-1.759771859387714e-15,0.0014505433193139367,-0.0007748438016770878,0.05184696853208468,0.9986536874188143,-115.13806400365522,0.18844864182054266,121.08196200410396,2.5608863605922614,0.3976631050951729,1
64,24.14449146799195,100.0,-3.713157128489813e-15,0.0013765059839294194,2.3165541561255925e-14,3.4707824912831843e-15,0.9999990526151894,-89.99999999903557,0.15773601651955005,89.99999999903594,1.9999999999999993,1.9435611911763334e-15,1
70,36.14687068652803,100.0,-5.9598196447072955e-15,0.0013765059839294194,8.971499890062518e-17,-1.234933498306557e-19,0.9999990526151894,-89.99999999999628,0.15773601651955005,89.99999999999625,1.9999999999999996,1.9342699912476026e-15,0
76,48.14924990506408,100.0,-8.309497474725618e-15,0.0013765059839294194,9.911096084862251e-17,-1.364269599299529e-19,0.9999990526151894,-89.99999999999588,0.15773601651955005,89.99999999999591,1.9999999999999993,1.9995872282332947e-15,0
82,60.15162912360013,100.0,-1.0571076153941054e-14,0.0013765059839294194,9.027618390213737e-17,-1.2426582507515997e-19,0.9999990526151894,-89.99999999999625,0.15773601651955005,89.99999999999625,1.9999999999999996,1.9362297384486016e-15,0
88,72.15400834213618,100.0,-1.2097940499819865e-14,0.0013765059839294194,8.49531533467428e-17,-1.1693863472135138e-19,0.9999990526151894,-89.99999999999646,0.15773601651955005,89.99999999999648,1.9999999999999998,1.9369641324588702e-15,0
94,84.15638756067223,100.0,-1.440315098384036e-14,0.0013765059839294194,9.137997446149603e-17,-1.257852008245555e-19,0.9999990526151894,-89.99999999999619,0.15773601651955005,89.99999999999619,1.9999999999999993,1.948676796316564e-15,0
100,96.15876677920829,100.0,-1.6473683804335372e-14,0.0013765059839294194,8.361794476173225e-17,-1.1510071037306881e-19,0.9999990526151894,-89.99999999999653,0.15773601651955005,89.99999999999653,1.9999999999999996,2.0392612521907848e-15,0
106,108.16114599774434,100.0,-1.875541160936652e-14,0.0013765059839294194,7.762733049135831e-17,-1.068545861702333e-19,0.9999990526151894,-89.99999999999677,0.15773601651955005,89.99999999999676,1.9999999999999996,2.0250306903778537e-15,0
112,120.16352521628038,100.0,-2.064068056109242e-14,0.0013765059839294194,8.27449647355969e-17,-1.1389904700480502e-19,0.9999990526151894,-89.99999999999656,0.15773601651955005,89.99999999999659,2.0,2.0088123203141563e-15,0
118,132.16590443481644,100.0,-2.2715094184535963e-14,0.0013765059839294194,9.129338994135432e-17,-1.2566601660155146e-19,0.9999990526151894,-89.9999999999962,0.15773601651955005,89.99999999999619,1.9999999999999993,1.995790239802327e-15,1
124,144.1682836533525,100.0,-2.5024391317054196e-14,0.001375950893628873,-0.01318888037435937,-0.025147806037719635,0.9995957923306292,-175.48521441427178,1.5195813509940024,172.6029308133772,2.0,2.0102278077384043e-15,1
130,155.49976513748086,97.66899087015994,1.2184200114221848,0.0013251016538047482,-0.12574093259348743,-0.23975564975960256,0.9626550214819835,166.61841802446526,14.447897890485052,165.41085704599334,2.0000098287410473,6.916157167521119e-06,1
