i,x,y,z,dx,dy,dz,radius,rmse,bend
0,-325.2831291639844,8.556644903078145e-16,-499.99999999999994,-0.3895403489392929,-0.9100726724802366,0.14151341757209446,3.5668485944605095,1.072826644625033,1
1,-549.9999999999999,-524.9999999999999,-418.36416313559505,0.5473775813644991,0.0005625491382074155,0.836885575785614,2.2013690253630154,0.1395103984276111,1
2,0.3478174546962097,0.3346563955676918,-2.1428506895304444,0.6343832478733804,0.6055476456973177,0.4804892752268848,2.5325465043958695,0.3876841630640659,1
14,-1.8972624021724195e-16,-7.492584698960303e-17,-22.01803345649121,-2.924181550771047e-16,2.522606963597457e-16,-1.0,2.0,1.600001669206135e-16,1
27,-1.4462807266476036e-15,-2.6645352591003766e-16,-48.04996007557812,-8.123051151669785e-17,8.62053584040941e-17,-1.0,2.0000000000000004,1.208759423908047e-15,0
39,2.5433747913045496e-16,-2.6440750677589427e-16,-72.07943080088913,-1.166347017548781e-16,-8.980517662678267e-17,-1.0,1.9999999999999998,2.8555369175727765e-16,0
51,-1.3397574803699915e-15,5.575085670253116e-16,-96.10890152620011,-2.9967596861735014e-16,-4.6119960166725474e-17,-1.0,2.0000000000000004,1.1521328816827455e-15,0
74,-1.0692481905235134e-15,3.7747582837255326e-16,-142.16538708304617,-1.9247793008816594e-18,5.941630211484195e-17,-1.0,2.0000000000000004,9.639435273594668e-16,0
97,7.049432502806008e-17,-6.023118593715766e-17,-188.2218726398922,9.414253200182639e-17,1.6078490324907234e-16,-1.0,1.9999999999999998,2.0655932729131431e-16,0
111,-1.4462807266476036e-15,-2.6645352591003766e-16,-216.25625515275505,2.7826354360854724e-16,2.0787239421624283e-16,-1.0,2.0000000000000004,1.208759423908047e-15,0
121,8.370733824350004e-17,1.1102230246251565e-16,-236.2808140905142,3.8202790624419014e-16,9.425321914600793e-17,-1.0,2.0,1.411068838002555e-16,0
144,2.1830361772045443e-16,3.3653001680752125e-16,-282.3372996473603,-5.160233743550186e-16,-2.925787247936701e-16,-1.0,2.0,3.4973041948666054e-16,0
167,-1.8106977082096483e-16,-6.661338147750916e-17,-328.3937852042063,-1.560543284197137e-16,-1.506345645660458e-16,-1.0,1.9999999999999998,2.019169518344242e-16,0
183,-1.2121813266045648e-15,-2.0263235405690917e-16,-360.43307950462093,4.743110971085191e-16,3.881048745834052e-17,-1.0,2.0000000000000004,1.082549562982641e-15,0
190,-1.432652106012987e-16,-7.453221711447909e-17,-374.4502707610525,4.733314676207577e-16,-1.3773888735946448e-16,-1.0,1.9999999999999998,2.110996351109481e-16,0
214,-1.6925359972427852e-15,-2.2204324967001304e-16,-422.50921221167437,-7.916949805469471e-17,-6.248884329901907e-17,-1.0,2.0000000000000004,1.3774064044651427e-15,0
