i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-0.6957306242610173,-1.041454151261355,0.11563254583159106,-1.794415507411779e-16,5.551115123125785e-17,1.0,1.1132719048979046e-16,0.0,2.842170943040401e-14,180.0,1.9999999999999962,1.2792603793923317e-15,0
1,-2.6893308263303175,-1.0414541512613544,0.11563254583158983,-1.379018802225208e-16,5.551115123125785e-17,1.0,8.968491334763495e-17,0.0,2.842170943040401e-14,180.0,1.9999999999999971,5.652668331147411e-16,1
2,-4.69244393549761,-1.041454151261354,0.11563254583159006,-1.1387493200834292e-16,5.551115123125785e-17,1.0,7.72801161023476e-17,0.0,2.842170943040401e-14,180.0,1.9999999999999964,5.252729640882544e-16,1
3,-6.695557044664902,-1.0414541512613544,0.11563254583159081,-8.234253137795963e-17,5.551115123125785e-17,1.0,9.450439475851253e-18,0.0,0.0,180.0,1.9999999999999967,8.58319665547339e-16,1
4,-8.698670153832195,-1.0414541512613538,0.11563254583158955,-5.600621318956473e-17,5.551115123125785e-17,1.0,-1.5270997631926983e-17,0.0,0.0,180.0,1.9999999999999964,5.430236544860747e-16,1
5,-10.701783262999488,-1.0414541512613544,0.11563254583159081,-2.158710009141016e-17,5.551115123125785e-17,1.0,6.194964744635582e-18,0.0,0.0,180.0,1.9999999999999967,8.58319665547339e-16,1
6,-12.704896372166779,-1.041454151261354,0.11563254583159006,-2.3093699742170453e-18,5.551115123125785e-17,1.0,-1.847495979373631e-17,0.0,0.0,180.0,1.9999999999999964,5.252729640882544e-16,1
7,-14.708009481334072,-1.041454151261354,0.11563254583159006,-8.852584901165321e-18,5.551115123125785e-17,1.0,-3.0791599656226975e-18,0.0,0.0,180.0,1.9999999999999964,5.252729640882544e-16,1
8,-16.711122590501365,-1.0414541512613575,0.11563254583158986,5.64453369916138e-10,5.558315936857955e-17,0.9999651111532607,-0.008353231485302523,0.47861611753359057,6.468158630923426e-08,-179.52139516658875,1.9999999999999958,2.299528920302938e-15,1
9,-18.714235699668656,-1.0414541512613544,0.11563254583158948,6.337573061264695e-10,-5.114395918948167e-12,0.9998299793832945,-0.018439423158026113,0.5941964086616736,7.262559620357933e-08,-178.48107440198058,1.9999999999999962,4.332825002704094e-16,1
10,-20.71734880883595,-1.0414541512613547,0.11563254583158986,-2.336552221019758e-09,-8.27712100608788e-11,0.9985115386529146,-0.05454087620298206,-174.84466023709527,2.679171018371562e-07,1.0976870427177232,1.999999999999997,3.882729324950973e-16,1
11,-22.720461918003245,-1.041454151261355,0.11563254583158987,-2.641914615359087e-09,2.9353187091271005e-12,0.9951690135063447,-0.09817654789616946,-174.42948122626063,3.027413129075285e-07,5.697836517755263,1.999999999999997,5.619021196914088e-16,1
12,-24.723575027170533,-1.0414541512613535,0.11563254583159037,-2.8079032090839155e-09,1.50161620363002e-10,0.9871475185238607,-0.15981169128754008,-173.86519309669632,3.2222177992480283e-07,12.257125663455213,1.999999999999997,8.731052065357989e-16,1
13,-34.98712813764677,-2.904850715822405,0.11563267174698875,-3.052948695861187e-09,3.2399386715986716e-10,0.9718282351859538,-0.23569022316454807,-172.42552196821586,3.5180667623535555e-07,19.690147066140412,2.000083682093295,6.262184360900787e-05,1
14,-35.70704749529784,-3.0613209320687607,0.11563255954594567,-3.3532772846804825e-09,5.138240501540466e-10,0.9467516802855859,-0.3219646811009242,-169.9299130560344,3.8874219399076537e-07,27.49347737316171,2.0000000065726597,3.528748194148644e-08,1
15,-36.84297589717935,-4.401529610246473,0.11563254650279234,-3.6391029591774966e-09,7.084085512608172e-10,0.9122503529058817,-0.40963312075941116,-166.83396580871693,4.248382765581482e-07,35.197546021891355,2.000310424430202,0.00021840135684417052,1
