i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-0.6957306242610173,-1.041454151261355,0.11563254583159106,-1.794415507411779e-16,5.551115123125785e-17,1.0,1.1132719048979046e-16,0.0,2.842170943040401e-14,180.0,1.9999999999999962,1.2792603793923317e-15,0
5,-10.701783262999488,-1.0414541512613544,0.11563254583159081,-2.158710009141016e-17,5.551115123125785e-17,1.0,6.194964744635582e-18,0.0,0.0,180.0,1.9999999999999967,8.58319665547339e-16,1
10,-20.71734880883595,-1.0414541512613547,0.11563254583158986,-2.336552221019758e-09,-8.27712100608788e-11,0.9985115386529146,-0.05454087620298206,-174.84466023709527,2.679171018371562e-07,1.0976870427177232,1.999999999999997,3.882729324950973e-16,1
13,-34.98712813764677,-2.904850715822405,0.11563267174698875,-3.052948695861187e-09,3.2399386715986716e-10,0.9718282351859538,-0.23569022316454807,-172.42552196821586,3.5180667623535555e-07,19.690147066140412,2.000083682093295,6.262184360900787e-05,1
17,-39.707024120752294,-11.196382350327573,0.11563254583158958,-4.66263974888784e-09,7.16863528539517e-10,0.8282737131681592,-0.5603237065077918,-154.66238512341866,5.4057713327893e-07,42.818759443649355,2.0514891544695253,0.036294410950562524,1
20,-39.707024120752294,-21.21712703779004,0.11563254583158951,-2.6638328630518864e-09,2.819839012785098e-09,0.727828767193915,-0.6857589121877936,176.66574025738151,4.445133185981831e-07,89.92490085297959,2.0000000233517383,4.114549310869451e-08,1
26,-39.707024120752294,-31.232692583626473,0.11563254583159012,-2.7430208822661516e-09,2.7430213652627945e-09,0.7071067811865474,-0.7071067811865477,179.9999949556223,4.4452559677665704e-07,90.0000050443777,1.9999999999999967,1.7251791927164198e-15,1
31,-39.707024120752294,-41.248258129462926,0.11563254583158951,-2.7430211279829815e-09,2.7430211195459642e-09,0.7071067811865475,-0.7071067811865476,-179.9999999118845,4.4452559677665704e-07,89.99999991188446,1.9999999999999962,1.7640376172481524e-15,0
39,-39.707024120752294,-57.273163002801276,0.11563254583158951,-2.743021120226369e-09,2.7430211273025766e-09,0.7071067811865475,-0.7071067811865476,179.99999992609662,4.4452559677665704e-07,90.00000007390332,1.9999999999999967,1.7251791927164198e-15,0
46,-39.707024120752294,-71.29495476697232,0.11563254583158974,-2.743043061582556e-09,2.7429991859463903e-09,0.7071067811865489,-0.7071067811865461,-179.99954176642075,4.4452559677665704e-07,89.99954176642052,1.9999999999999964,1.7221537665349558e-15,1
54,-39.707024120752294,-85.31674653114338,0.1156325458315895,3.87422732110905e-08,2.3151254039970196e-08,0.622625207204682,-0.7825201922975054,82.35321409760434,5.171805753434455e-06,-159.36940504277246,1.9999999999999964,1.824542434153728e-15,1
59,-36.87152446630272,-94.90665045581899,0.11563109314313468,1.092568401849197e-07,8.067561032590951e-08,0.39725968587119465,-0.917706239480533,103.0353024501253,1.5563209132096745e-05,-149.8492616585836,1.9999999999999964,1.7221537665349558e-15,1
66,-23.780958025243436,-97.93129144138415,0.11563254583158943,9.074472043803978e-08,-2.1507713147415534e-08,0.05926219045967755,-0.9982424519033001,73.26871283106485,1.06866603744038e-05,-80.06364089806756,2.470610830511841,0.3384234725207078,1
71,-13.765392479407,-97.93129144138415,0.11563254583158894,9.145350367335198e-08,-8.968053399875648e-17,-8.201599045483476e-24,-0.9999999999999959,89.999999943815,1.0479799556151193e-05,-89.999999943815,2.0061804710577604,0.004349234219996317,1
