i,x,y,z,dx,dy,dz,radius,rmse,bend
0,-325.2831291639844,8.556644903078145e-16,-499.99999999999994,-0.3895403489392929,-0.9100726724802366,0.14151341757209446,3.5668485944605095,1.072826644625033,1
1,-549.9999999999999,-524.9999999999999,-418.36416313559505,0.5473775813644991,0.0005625491382074155,0.836885575785614,2.2013690253630154,0.1395103984276111,1
2,0.3478174546962097,0.3346563955676918,-2.1428506895304444,0.6343832478733804,0.6055476456973177,0.4804892752268848,2.5325465043958695,0.3876841630640659,1
3,1.9996750022165732e-15,-3.885780586188048e-16,-1.7877446051781163,-0.6470248845774808,-0.6225421202751981,-0.440227335839971,2.006609709232741,0.0045798561142670596,1
4,-6.457806910242226e-16,5.551115123125783e-17,-2.3795011725169557,-9.882244199128353e-16,1.337298788660096e-16,-1.0,1.9999999999999998,4.710277376051325e-16,1
5,-1.8250813629197955e-16,-9.327763809090774e-17,-3.995930412508225,1.2076682369255588e-16,5.353843712156689e-17,-1.0,2.0,1.600001669206135e-16,1
6,-2.0873942811098048e-16,2.492606054156117e-16,-5.998386306283884,-2.1165841847082413e-17,5.961054366577551e-18,-1.0,2.0,2.557779480843917e-16,1
7,-2.672754657988123e-16,-6.940414119196552e-17,-8.000842200059799,5.201854109249985e-17,-5.690342971679277e-17,-1.0,2.0,1.600001669206135e-16,1
8,-4.0975971837841656e-19,2.1367388990701052e-17,-10.003298093835717,6.673691706008717e-17,-4.8471343572077994e-18,-1.0,2.0,7.542480201369688e-17,1
9,0.0,-8.881648671499453e-17,-12.005753987611634,1.3653825544155543e-17,-4.47296184044409e-18,-1.0,1.9999999999999996,4.277767810532025e-16,1
10,5.4272607148586444e-17,3.4535713906369732e-18,-14.00820988138755,2.1340047625857435e-17,8.870891213741924e-17,-1.0,2.0,8.146809734658675e-17,1
11,8.546500828371388e-17,2.664548811650554e-16,-16.010665775163464,1.2479769266330106e-16,3.580703070827189e-17,-1.0,1.9999999999999998,2.019169518344242e-16,1
12,5.540763575551114e-16,1.468575707514254e-16,-18.01312166893938,-3.2715160304017577e-17,-1.743646846295974e-16,-1.0,1.9999999999999996,5.559648740958599e-16,1
13,-4.5556322849493944e-17,-4.318602996407772e-16,-20.015577562715297,-1.8572259196426244e-16,-5.537785337254652e-17,-1.0,1.9999999999999998,3.746014131276058e-16,1
14,-1.8972624021724195e-16,-7.492584698960303e-17,-22.01803345649121,-2.924181550771047e-16,2.522606963597457e-16,-1.0,2.0,1.600001669206135e-16,1
15,-1.2166652390119495e-15,5.784215367464013e-16,-24.020489350267127,-3.75241662424779e-16,-3.673424297076505e-17,-1.0,2.000000000000001,1.4073683292552584e-15,0
16,-1.6925359972427852e-15,-2.2204324967001304e-16,-26.022945244043044,3.300756320186199e-16,-1.2602624493786149e-16,-1.0,2.0000000000000004,1.3774064044651427e-15,0
