i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,-0.6275813762011127,-1.0575643139712316,0.11563254583159027,-1.9401869512434741e-16,5.551115123125783e-17,1.0,3.5630292490763026e-17,0.0,2.842170943040401e-14,180.0,2.085664355053411,0.0638523619670686,0
1,-1.4607368244921213,-1.0575643139712316,0.11563254583158963,-1.6895905724293526e-16,5.551115123125783e-17,1.0,4.486528043136879e-17,0.0,2.842170943040401e-14,180.0,2.0214038352867933,0.016010245525947493,0
2,-2.185315479781225,-1.05756431397123,0.11563254583158955,-1.5852148360081562e-16,5.551115123125783e-17,1.0,3.5630292490763026e-17,0.0,2.842170943040401e-14,180.0,1.9999999999999964,1.0994959805502436e-15,0
3,-3.5079742141653942,-1.0575643139712316,0.11563254583158965,-1.113363537783688e-16,5.551115123125783e-17,1.0,2.947363386369251e-17,0.0,2.842170943040401e-14,180.0,1.9999999999999964,2.365181968931485e-16,0
4,-5.511627840579575,-1.0575643139712316,0.11563254583159081,-5.645540067208384e-17,5.551115123125783e-17,1.0,2.947363386369251e-17,0.0,0.0,180.0,1.9999999999999971,9.92536136067497e-16,0
5,-7.515281466993752,-1.0575643139712312,0.11563254583159131,-1.7928072043954924e-17,5.551115123125783e-17,1.0,2.331697523662199e-17,0.0,0.0,180.0,1.9999999999999967,1.1853938111129682e-15,0
6,-9.518935093407928,-1.057564313971231,0.11563254583158955,5.884962105460806e-18,5.551115123125783e-17,1.0,-3.2116541622647845e-17,0.0,0.0,180.0,1.9999999999999962,6.112046709803677e-16,0
7,-11.522588719822103,-1.0575643139712319,0.115632545831589,-1.6102737534160026e-18,5.551115123125783e-17,1.0,-3.2116541622647845e-17,0.0,0.0,180.0,1.9999999999999962,6.119798198917078e-16,0
8,-13.52624234623628,-1.0575643139712314,0.11563254583158988,-2.0778722866363038e-17,5.551115123125783e-17,1.0,-1.2313317254141035e-17,0.0,0.0,180.0,1.9999999999999967,2.985399669859144e-16,0
9,-15.529895972650458,-1.0575643139712319,0.11563254583158988,-1.6353624478156057e-17,5.551115123125783e-17,1.0,-9.234987940605766e-18,0.0,0.0,180.0,1.9999999999999967,2.82213767600511e-16,0
10,-17.533549599064635,-1.0575643139712319,0.11563254583158959,7.311032119646229e-18,5.551115123125783e-17,1.0,-2.1548305194746804e-17,0.0,0.0,180.0,1.9999999999999962,4.1540741810552243e-16,1
11,-19.53720322547881,-1.0575643139712319,0.11563254583158974,1.7315602388635834e-17,5.551115123125783e-17,1.0,-1.8469975881211538e-17,0.0,0.0,180.0,1.9999999999999967,2.539177201374379e-16,1
12,-21.540856851892986,-1.0575643139712319,0.11563254583158908,1.9239558209595375e-17,5.551115123125783e-17,1.0,3.078329313535261e-18,0.0,0.0,180.0,1.9999999999999962,6.041835802883189e-16,1
13,-23.544510478307163,-1.0575643139712323,0.11563254583158988,1.0774152597373423e-17,5.551115123125783e-17,1.0,5.5648902078177095e-33,0.0,0.0,180.0,1.9999999999999962,6.429568065895696e-16,1
14,-25.548164104721337,-1.0575643139712312,0.11563254583159106,1.308289958252486e-17,5.551115123125783e-17,1.0,-6.156658627070508e-18,0.0,0.0,180.0,1.9999999999999978,1.569186374665629e-15,1
15,-27.551817731135515,-1.0575643139712325,0.11563254583159033,1.5584042149772257e-17,5.551115123125783e-17,1.0,-3.078329313535252e-18,0.0,0.0,180.0,1.9999999999999964,8.204794877338307e-16,1
16,-29.555471357549692,-1.0575643139712316,0.11563254583158947,1.8248451498710555e-17,5.5486172361569994e-17,0.9999987227185846,-0.001598299471128055,0.0,0.0,-179.81684829383397,1.9999999999999962,4.176836401752305e-16,1
17,-31.55912498396387,-1.0575643139712314,0.1156325458315908,1.1426847051557707e-17,5.5347778901848244e-17,0.9999640506058389,-0.008479239114647126,0.0,0.0,-179.02833912692915,1.9999999999999971,1.1003579924274995e-15,1
18,-33.56277861037805,-1.0575643139712319,0.11563254583158974,-4.147035288201714e-16,5.1470254651902527e-17,0.9995606505434671,-0.029639599948731284,0.0,5.684341886080802e-14,-176.60305453634254,1.9999999999999967,2.539177201374379e-16,1
19,-35.566432236792224,-1.0575643139712323,0.11563254583159067,2.3264394101832007e-11,6.899273345377638e-13,0.998106481851484,-0.06150976252639311,0.0,2.6670647912396817e-09,-172.9470482238388,1.999999999999997,8.972064742136898e-16,1
20,-37.5700858632064,-1.0575643139712316,0.11563254583158979,4.987072710005619e-11,1.3370811810490917e-12,0.9945787476532654,-0.10398612751931101,0.0,5.716827899959753e-09,-168.06248763489793,1.9999999999999964,2.0655932729131431e-16,1
21,-41.56754305733628,-1.230276820234593,0.1156325458315902,2.2923709215992224e-11,-4.154595130426638e-12,0.9875775963139005,-0.15713208220748093,0.0,2.6696511667978484e-09,-161.91905795166,2.0008970526903274,0.0006712811285924523,1
22,-43.48684073923497,-1.7953570930582303,0.1156325458315893,-1.0104959645135554e-11,-1.0837360298165232e-11,0.9753056153507136,-0.22085958585799706,0.0,1.6979697647911962e-09,-154.48094877423333,2.000000022183346,4.065393977655311e-08,1
23,-45.25294747092253,-2.7296862890368234,0.11563254583156196,-7.838182545144726e-12,-9.336158983736207e-12,0.9555056448959587,-0.2949728166661431,0.0,1.3968985967949266e-09,-145.68818530462323,2.0000000018276283,3.4191885789901e-08,1
24,-46.79398947896845,-3.992400624512348,0.11563254746050414,-4.0545799757658746e-12,-7.2107703319739215e-12,0.9262713572134003,-0.3768572313304411,0.0,9.479492746322649e-10,-135.72170465298575,2.000000035998948,4.706037778189309e-08,1
25,-48.024078295626936,-5.49044370803793,0.11563254759138003,-2.9584675225948227e-12,-6.131519758048745e-12,0.8897138722025669,-0.4565185928418627,0.0,7.801190804457292e-10,-125.67462838533115,2.0000039322004133,2.768852740382461e-06,1
26,-48.9230304390242,-7.152511689547683,0.1156325455962681,-2.7762298422238674e-12,-5.5326902614471276e-12,0.8501639713068858,-0.5265180166829095,0.0,7.093490239640232e-10,-116.45901656894513,2.0000032135742885,2.2621810800623896e-06,1
27,-49.48512967311204,-8.916551298583839,0.11563254546064175,-2.693950671610132e-12,-5.065988319968833e-12,0.8137358865681278,-0.5812348121982915,0.0,6.575078259629663e-10,-108.9251206078014,2.000001964032146,1.3822235550233246e-06,1
28,-49.71552167976135,-10.901697316260302,0.11563254573820464,-2.20016684708981e-11,-1.8511459323276082e-11,0.7811448628211382,-0.6243498244479175,0.0,3.2948719308478758e-09,-102.7310356135583,2.00002982476441,2.0985005856407173e-05,1
29,-49.717024120752306,-14.909086758224028,0.11563254583158943,-4.236073611746469e-11,-3.3202862006734714e-11,0.7536118911408524,-0.657319646390634,-100.81444563873316,6.167596211525961e-09,3.0059911180271683,2.0009676719370626,0.0006808244491157951,1
30,-49.717024120752306,-16.912740384638198,0.11563254583158943,-2.2449482159863916e-11,-1.3530846234166388e-11,0.731956698717137,-0.6813511511717805,0.0,3.0036630960239563e-09,-94.10136560356554,2.000000067585538,5.0576388857107246e-08,1
31,-49.717024120752306,-18.916394011052375,0.11563254583158977,5.084683448712869e-13,8.612800732855237e-12,0.7167149392740578,-0.6973662565835714,0.0,9.886775842460338e-10,-91.56784304059173,1.999999999999996,1.7385921324964601e-15,1
32,-49.717024120752306,-20.920047637466553,0.11563254583158955,-9.715508118950041e-13,7.069804317704118e-12,0.7086340966652112,-0.7055761596337281,0.0,8.177494237315841e-10,-90.24778014737278,1.999999999999996,1.7385921324964601e-15,1
33,-49.717024120752306,-22.92370126388073,0.11563254583158943,-3.4090601960425742e-12,4.629758903269935e-12,0.7071165999557976,-0.7070969622809539,0.0,6.588436463061953e-10,-90.00159121071664,1.9999999999999962,1.8120275626924576e-15,1
34,-49.717024120752306,-24.927354890294907,0.11563254583158974,-4.0194095500456366e-12,4.0194095500456366e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.9999999999999964,1.7196744588590967e-15,1
35,-49.717024120752306,-26.931008516709085,0.11563254583158977,-4.0194096860898565e-12,4.019409414001416e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.999999999999996,1.7385921324964601e-15,1
36,-49.717024120752306,-28.934662143123262,0.11563254583158955,-4.019410910487844e-12,4.019408189603428e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.9999999999999962,1.8120275626924576e-15,1
37,-49.717024120752306,-30.93831576953744,0.11563254583158943,-4.019407645426546e-12,4.019411454664727e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.9999999999999962,1.8120275626924576e-15,1
38,-49.717024120752306,-32.94196939595162,0.11563254583158943,-4.019409141912974e-12,4.019409958178299e-12,0.7071067811865475,-0.7071067811865476,0.0,6.51368736725999e-10,-90.0,1.9999999999999964,1.7196744588590967e-15,1
