i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,0.19276322279233682,-1.041454151261353,0.11563254583158998,-9.997260735814803e-17,5.55111512312578e-17,1.0,-2.399342576595552e-16,0.0,0.0,-179.99999999999997,2.0000000000000018,9.42055475210265e-16,0
1,-1.812355382183475,-1.0414541512613549,0.11563254583158922,-9.016760163648354e-17,5.55111512312578e-17,1.0,-1.8764089381067784e-16,0.0,0.0,-179.99999999999997,2.0000000000000018,4.649497057043957e-16,0
2,-3.817473987159287,-1.041454151261355,0.11563254583158988,-7.67097506459636e-17,5.5511151231257796e-17,1.0,-1.3227144973539585e-16,0.0,0.0,180.0,2.0000000000000018,4.809871420922655e-16,0
3,-5.822592592135099,-1.0414541512613542,0.11563254583159,-5.075532373567516e-17,5.5511151231257796e-17,1.0,-8.613024633932751e-17,0.0,0.0,180.0,2.0000000000000018,3.8949200278671956e-16,0
4,-7.8277111971109115,-1.0414541512613538,0.11563254583158968,-2.6723446966889567e-17,5.5511151231257796e-17,1.0,-5.229336384887742e-17,0.0,0.0,180.0,2.0000000000000013,6.310491685410703e-16,0
5,-9.832829802086724,-1.0414541512613538,0.11563254583158994,-3.0760802264045534e-18,5.5511151231257796e-17,1.0,-9.228240679213656e-18,0.0,0.0,180.0,2.0000000000000018,5.542568366520076e-16,0
6,-11.837948407062537,-1.0414541512613535,0.11563254583158886,7.305690537710815e-18,5.5511151231257796e-17,1.0,2.460864181123644e-17,0.0,0.0,180.0,2.0000000000000013,9.756755234059284e-16,0
7,-13.843067012038347,-1.0414541512613533,0.11563254583158938,-1.5380401132022752e-18,5.5511151231257796e-17,1.0,1.8456481358427336e-17,0.0,0.0,180.0,2.0000000000000013,8.643739350862213e-16,1
8,-15.84818561701416,-1.0414541512613538,0.1156325458315892,-6.5366704811096816e-18,5.5511151231257796e-17,1.0,3.076080226404566e-18,0.0,0.0,180.0,2.0000000000000013,6.96744475938914e-16,1
9,-17.853304221989973,-1.0414541512613544,0.11563254583158959,-4.80637535375712e-18,5.5511151231257796e-17,1.0,1.3277534164552595e-32,0.0,0.0,180.0,2.0000000000000013,4.3546529746182126e-16,1
10,-19.858422826965786,-1.0414541512613542,0.11563254583158938,6.344415466959382e-18,5.5511151231257796e-17,1.0,-1.2304320905618207e-17,0.0,0.0,180.0,2.0000000000000013,4.3546529746182126e-16,1
11,-21.8635414319416,-1.041454151261354,0.11563254583159024,1.0958535806566217e-17,5.5511151231257796e-17,1.0,-2.1532561584831875e-17,0.0,0.0,180.0,2.0000000000000027,1.157060058325495e-15,1
12,-23.868660036917404,-1.041454151261354,0.11563254583158952,5.575395410358249e-18,5.5511151231257796e-17,1.0,-3.0760802264045538e-18,0.0,0.0,180.0,2.0000000000000018,3.590938835452206e-16,1
13,-25.87377864189322,-1.0414541512613538,0.11563254583158968,1.249408702516901e-16,5.549984638824146e-17,0.9999979848356695,-0.00200756683578646,0.0,2.842170943040401e-14,-179.76994963190822,2.0000000000000013,6.310491685410703e-16,1
