i,x,y,z,qx,qy,qz,qw,o,a,t,radius,rmse,bend
0,0.19276322279233682,-1.041454151261353,0.11563254583158998,-9.997260735814803e-17,5.55111512312578e-17,1.0,-2.399342576595552e-16,0.0,0.0,-179.99999999999997,2.0000000000000018,9.42055475210265e-16,0
6,-11.837948407062537,-1.0414541512613535,0.11563254583158886,7.305690537710815e-18,5.5511151231257796e-17,1.0,2.460864181123644e-17,0.0,0.0,180.0,2.0000000000000013,9.756755234059284e-16,0
12,-23.868660036917404,-1.041454151261354,0.11563254583158952,5.575395410358249e-18,5.5511151231257796e-17,1.0,-3.0760802264045538e-18,0.0,0.0,180.0,2.0000000000000018,3.590938835452206e-16,1
17,-33.89425306179647,-1.0414541512613533,0.11563254583158962,2.1232749757223807e-11,4.619646512309926e-12,0.9899266199732408,-0.1415813796668008,0.0,2.490025963197695e-09,-163.72127157285544,2.0000000107074896,8.012749965096158e-09,1
22,-45.64533905944921,-9.188394881498606,0.1156325500151217,-3.028820892145475e-12,-4.927182349709367e-12,0.8416609965086937,-0.5400062656636427,0.0,6.62765842207591e-10,-114.6318692437762,2.0000248015963726,1.745058652900324e-05,1
26,-45.81853027369894,-19.204019486199556,0.11563254583158986,-1.6118674766094176e-11,-1.9064390706820978e-11,0.719321385414606,-0.694677439165266,0.0,2.8608155844267458e-09,-91.99696229688901,2.000900763081263,0.0006740576343636616,1
32,-45.81853027369894,-31.234731116054434,0.11563254583158983,1.0244560939450775e-12,-1.024455822055429e-12,0.7071067811865475,-0.7071067811865476,0.0,1.660112047829898e-10,-90.0,2.0000000000000013,1.347130039030722e-15,1
38,-45.81853027369894,-43.2654427459093,0.11563254583158987,1.024450928041757e-12,-1.0244609879587494e-12,0.7071067811865475,-0.7071067811865476,0.0,1.660112047829898e-10,-90.0,2.0000000000000013,1.347130039030722e-15,0
44,-45.81853027369894,-55.296154375764175,0.11563254583158987,1.0244492967038663e-12,-1.0244626192966401e-12,0.7071067811865475,-0.7071067811865476,0.0,1.660112047829898e-10,-90.0,2.0000000000000013,1.35450009033397e-15,0
50,-45.81853027369894,-67.32686600561905,0.11563254583158986,1.0244559580002533e-12,-1.0244559580002533e-12,0.7071067811865475,-0.7071067811865476,0.0,1.660112047829898e-10,-90.0,2.0000000000000013,1.347130039030722e-15,0
56,-45.81853027369894,-79.35757763547392,0.11563254583158987,1.024445354303964e-12,-1.0244665616965427e-12,0.7071067811865475,-0.7071067811865476,0.0,1.660112047829898e-10,-90.0,2.0000000000000013,1.347130039030722e-15,1
62,-45.81853027369894,-91.38828926532878,0.1156325458315886,6.069731234658626e-12,2.3892511505814894e-12,0.646320906586924,-0.7630657151967035,0.0,7.474909580196254e-10,-80.52956979916443,2.0000000000000013,1.347130039030722e-15,1
66,-41.987929602831464,-102.14960285651213,0.11563254543624735,1.4883275836123432e-11,8.524202598470785e-12,0.35418823193158333,-0.9351741529582492,0.0,1.965418050531298e-09,-41.48740239703773,2.000000000000002,1.8380040534786434e-15,1
70,-30.421676606709415,-104.27950729598214,0.11563254583158977,1.6861716707663608e-11,-3.0195761915179064e-12,0.050601629644134484,-0.9987189169517907,0.0,1.9629453618108528e-09,-5.800997028134418,2.0000000613134907,4.3744462909831665e-08,1
76,-18.390964976854537,-104.27950729598214,0.11563254583158951,1.7208270692091308e-11,-6.1521604528091954e-18,-1.0586804241311968e-28,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000110552357975,8.272979170981213e-06,1
82,-6.360253346999659,-104.27950729598214,0.1156325458315895,1.7208270692091308e-11,-6.921180509410315e-18,-1.1910154771475913e-28,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.2321579053882008e-15,0
88,5.670458282855216,-104.27950729598214,0.11563254583158977,1.7208270692091308e-11,-1.314768175368353e-30,-2.2624886659085595e-41,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.2598089700579317e-15,0
94,17.70116991271007,-104.27950729598214,0.11563254583158951,1.7208270692091308e-11,-2.449328880274645e-16,-4.2148714385723e-27,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000018,2.3194404104388946e-15,0
100,29.73188154256497,-104.27950729598214,0.11563254583158977,1.7208270692091308e-11,-2.8050006564526826e-16,-4.826921058773158e-27,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.43938315844609e-15,0
106,41.762593172419834,-104.27950729598214,0.11563254583159004,1.7208270692091308e-11,-2.1148051556560046e-18,-3.639213957955882e-29,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,1.2920667057761495e-14,0
112,53.79330480227469,-104.27950729598214,0.11563254583157323,1.7208270692091308e-11,1.2688830933917991e-17,2.1835283747704254e-28,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.171876349881853e-15,0
118,65.82401643212958,-104.27950729598214,0.11563254583158977,1.7208270692091308e-11,-2.307060169801786e-18,-3.970051590489127e-29,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.2598089700579317e-15,0
124,77.85472806198442,-104.27950729598214,0.11563254583158931,1.7208270692091308e-11,2.305137619661927e-16,3.966743214166546e-27,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.183414490168759e-15,0
130,89.88543969183932,-104.27950729598214,0.1156325458315895,1.7208270692091308e-11,4.2296103113093276e-18,7.278427915907149e-29,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.2452871135843694e-15,0
136,101.9161513216942,-104.27950729598214,0.11563254583158977,1.7208270692091308e-11,1.9225501415343028e-19,3.308376325464074e-30,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.2452871135843694e-15,0
142,113.94686295154908,-104.27950729598214,0.11563254583158951,1.7208270692091308e-11,-1.2150516894298001e-16,-2.090893837659086e-27,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.183414490168759e-15,0
148,125.97757458140393,-104.27950729598214,0.11563254583158952,1.7208270692091308e-11,-4.229610311305589e-18,-7.278427915900716e-29,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000018,2.3194404104388946e-15,0
154,138.0082862112588,-104.27950729598214,0.1156325458315895,1.7208270692091308e-11,7.728651568841672e-17,1.3299672828148365e-27,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000018,2.322912475692293e-15,0
159,148.03387923613786,-104.27950729598214,0.11563254583159518,1.7208270692091308e-11,7.363367041956018e-17,1.267108132632028e-27,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.2321579053882008e-15,0
164,158.05947226101694,-104.27950729598214,0.11563254583160333,1.7208270692091308e-11,-5.767650424508617e-17,-9.925128976229962e-28,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000018,1.0112316217843123e-14,0
169,168.085065285896,-104.27950729598214,0.11563254583159,1.7208270692091308e-11,-1.9513883936253113e-16,-3.3580019702909585e-27,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.7028682403018773e-15,0
175,180.11577691575087,-104.27950729598214,0.1156325458315895,1.7208270692091308e-11,-1.9379305426348355e-16,-3.334843336013164e-27,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,1.3026600647680598e-14,0
181,192.14648854560573,-104.27950729598214,0.11563254583158952,1.7208270692091308e-11,3.4605902547052984e-18,5.955077385738198e-29,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.2598089700579317e-15,0
187,204.1772001754606,-104.27950729598214,0.11563254583158976,1.7208270692091308e-11,-1.1535300849015367e-18,-1.985025795245671e-29,-1.0,0.0,1.9719266219908604e-09,0.0,2.0000000000000013,2.43938315844609e-15,0
193,216.20791180531546,-104.27950729598214,0.11563254583158948,1.7208270692091308e-11,-1.1343045834866857e-17,-1.9519420319918773e-28,-1.0,0.0,1.9719266219908604e-09,0.0,2.000000000000001,2.1844998481371522e-15,1
199,228.23437474505522,-104.1806760598095,0.1156325454177819,1.6539425579903818e-11,4.502645408172926e-12,-0.20042107325983585,-0.9797098516363789,0.0,1.9642527604446514e-09,23.123166648440105,2.0000000000000018,2.3128906185831588e-15,1
203,236.80083293726872,-95.06711764574433,0.11563254564585321,1.0798456823810709e-11,2.2541670344979828e-11,-0.5292074805535515,-0.8484924528398368,0.0,2.8641693461395334e-09,63.90384621599122,2.0000000000000013,2.2654660965392783e-15,1
208,237.17146080460876,-85.07059747999494,0.1156325458522823,9.31202712673045e-12,2.3043596948312205e-11,-0.5233562386165377,-0.8521139873873388,0.0,2.8480542368924944e-09,63.11530364189093,2.0000315289813657,2.2183484229107194e-05,1
