i,x,y,z,dx,dy,dz,radius,rmse,bend
0,-549.9999999999999,-214.58664634609897,-499.99999999999994,-4.3717947966509283e-16,-1.0,0.0,1.9999999999999558,2.5409782582107695e-14,1
1,-550.0,-474.63278988583545,-499.99999999999994,0.7121994362985424,0.2780051337389666,0.6445813436260917,4.685976967043439,1.719667060338824,1
2,0.22269245439969393,0.19130124255840428,-2.0169009974424226,0.6243242364414974,0.5387722802464944,0.5656356405228848,2.491378960371111,0.3359955924212925,1
3,-2.112664040588195e-17,-1.0182718033371886e-16,-1.7018655870514814,-0.15126796591424002,-0.0003797315331369445,-0.9884927204042178,2.0120904196106695,0.00837739011763681,1
4,-75.98311957725826,1.2885581490706954e-11,-499.999999999997,-3.0949271732055e-14,-1.1251454292556719e-15,1.0,2.0151648823400303,0.010416157692074286,1
5,-7.19929636952285e-15,-3.627859819190998e-16,-1.469932189998964,0.15106461691264683,-2.5617864252549993e-14,0.9885238902105681,2.0120570919417378,0.008354301430303383,1
6,-1.6895002311598258e-15,1.9984014443252905e-16,-2.788075130262905,1.9742312978440553e-15,2.52895611725519e-16,-1.0,2.0000000000000004,1.3743052979317892e-15,1
7,-1.0336016279591032e-15,4.2702884123935015e-16,-4.59301850126196,1.6966536841082797e-16,-2.6443979251528925e-18,-1.0,2.0000000000000004,8.860408030757622e-16,1
8,-1.0435502392072803e-15,1.8977239263101983e-16,-6.5952751381539745,-1.5526025155362666e-16,-1.0729170884855511e-16,-1.0,2.0000000000000004,9.510705655470863e-16,1
9,-1.6553433661966598e-15,-2.6222310116678877e-18,-8.597531775046061,7.499875261504895e-17,-5.848475998145331e-17,-1.0,2.0000000000000004,1.355199909595506e-15,1
10,-7.432167388430614e-16,-4.443060502879126e-17,-10.599788411938146,1.9569475007005453e-16,-1.233965429479282e-16,-1.0,2.0000000000000004,6.905935951145101e-16,1
11,-8.716811419312508e-16,-4.967653251857247e-16,-12.602045048830231,0.0,0.0,-1.0,2.0,7.102224069126115e-16,1
12,-7.432167388430614e-16,-4.443060502879126e-17,-14.60430168572232,-1.1530999903550192e-16,6.842955485515391e-17,-1.0,2.0000000000000004,6.905935951145101e-16,1
13,-1.3334415636689585e-15,-2.2273826444911867e-16,-16.606558322614404,1.2518085071448307e-16,-6.936529604428496e-17,-1.0,1.9999999999999998,9.639435273594668e-16,1
14,-2.4192836053331934e-16,-3.2220485377809893e-16,-18.60881495950649,3.99446834601037e-16,3.119525942930254e-17,-1.0,2.0000000000000004,5.768888059150692e-16,1
15,2.6614858766196385e-16,-9.781643398533588e-17,-20.611071596398574,-1.6102529366615507e-16,1.4809379916345853e-16,-1.0,1.9999999999999996,3.931265325747076e-16,1
16,-8.867562864344313e-16,2.7083873073709774e-16,-22.61332823329066,-3.199224843335366e-16,5.4278564940499714e-17,-1.0,2.0000000000000004,8.239390089993159e-16,1
17,-1.0149852474336915e-15,1.1954279980085128e-16,-24.615584870182744,-8.371138462785697e-17,9.109034726663261e-17,-1.0,2.0,6.774250225746759e-16,0
18,-1.2219796373435366e-15,6.356112354799376e-16,-26.61784150707483,2.6965466030043684e-16,-6.595990635671113e-17,-1.0,2.000000000000001,1.410060571465807e-15,0
19,6.485041907717097e-17,-1.4459452074215977e-16,-28.62009814396692,2.7060079045524024e-16,-1.7233017505637052e-16,-1.0,1.9999999999999998,2.019169518344242e-16,0
20,-1.3835518006903738e-16,-5.4487238006848386e-17,-30.622354780859002,6.268092072795204e-17,3.0367394004460687e-16,-1.0,1.9999999999999998,2.110996351109481e-16,0
21,3.158569981452682e-16,1.0714718030688067e-15,-32.62461141775109,-1.510449628757114e-16,2.5113246705644807e-18,-1.0,2.0,7.504673044988249e-16,0
22,-7.432167388430614e-16,-4.443060502879126e-17,-34.626868054643175,-2.422969666171942e-16,-3.7877501940009043e-16,-1.0,2.0000000000000004,6.905935951145101e-16,0
23,-6.544244208709258e-16,-4.453377898967119e-16,-36.62912469153526,3.6788433116357386e-16,1.1611343531295648e-16,-1.0,2.0,5.68611636466788e-16,0
24,7.299809485186868e-16,4.205471879466241e-16,-38.63138132842736,-2.4434783637571486e-16,2.6258801178077108e-17,-1.0,1.9999999999999998,6.158409296133417e-16,0
25,-1.6329185750579201e-15,-3.4018407202544257e-16,-40.63363796531944,-1.6105711572164093e-16,-7.729400911477448e-17,-1.0,2.0000000000000004,1.391786876060135e-15,0
26,8.502559077398371e-17,1.1102230246251565e-16,-42.63589460221152,3.505851925366145e-16,7.939012795146746e-17,-1.0,2.0,1.411068838002555e-16,0
27,-2.2899551795286847e-16,-2.226525083636752e-17,-44.63815123910361,-1.6480590001415556e-18,-5.681010349346842e-17,-1.0,1.9999999999999998,2.3247485285219787e-16,0
28,7.842591663193738e-17,-1.1647451106213107e-16,-46.64040787599569,7.682680358508412e-17,-2.269879779802214e-17,-1.0,2.0,1.5084960402739377e-16,0
29,7.865843678601015e-17,-1.1316288791749006e-16,-48.64266451288778,-2.091377367827685e-17,2.5146381528699795e-17,-1.0,1.9999999999999996,4.2443906986614324e-16,0
30,-5.3235676676402436e-18,-1.5775492442811682e-17,-50.64492114977986,-4.736674004560909e-17,6.073987084254888e-18,-1.0,2.0,6.885310909710477e-17,0
31,-1.1102230246251565e-16,-8.883952601379776e-17,-52.647177786671946,-5.04572075368055e-17,5.963360949718751e-18,-1.0,1.9999999999999998,2.110996351109481e-16,0
32,-2.0738012500686053e-16,8.10486563670323e-18,-54.64943442356403,-2.841568821365931e-16,2.078968460162137e-17,-1.0,2.0,1.600001669206135e-16,0
33,-1.2489323088156225e-15,-5.586958068818917e-18,-56.6516910604561,-1.1662501972048081e-16,-1.815946065896766e-17,-1.0,2.0000000000000004,1.0680002819009354e-15,0
34,-6.744065645328648e-16,-6.461493561689394e-17,-58.65394769734819,3.7531283788245e-16,1.1987890572670922e-17,-1.0,2.0,4.440892098500626e-16,0
35,2.540129323062546e-16,4.2418708854113904e-17,-60.65620433424027,1.3608334253794943e-16,1.71391573078345e-16,-1.0,1.9999999999999998,1.714428590536638e-16,0
36,-1.2945901299872843e-16,6.217248937900881e-16,-62.65846097113236,-5.763139484919899e-17,3.93837982322745e-17,-1.0,2.0,4.710277376051325e-16,0
37,2.3227246645940616e-17,2.0013165164729467e-16,-64.66071760802444,4.603982875249787e-18,-1.7744089511592988e-16,-1.0,2.0,1.6582024504733824e-16,0
38,-1.1102230246251565e-16,-8.883952601379776e-17,-66.66297424491653,-5.515792333268542e-17,-2.0902674358753506e-17,-1.0,1.9999999999999998,2.110996351109481e-16,0
39,-1.9765338949416774e-16,1.1642661472007825e-16,-68.66523088180861,3.1591441421343034e-17,1.9952741901744584e-16,-1.0,2.0,2.482534153247273e-16,0
40,1.5486044047227114e-17,7.101706719254573e-16,-70.66748751870068,2.802686175374101e-18,-5.11025985790173e-17,-1.0,2.0,4.556806751403839e-16,0
41,-1.8642999550263077e-16,-8.82144196144606e-17,-72.66974415559278,1.4229432559087653e-17,-6.429858606471058e-17,-1.0,2.0,1.600001669206135e-16,0
42,7.246799560851048e-17,4.52686130543769e-16,-74.67200079248487,-4.274741369819685e-16,-3.896469686455161e-17,-1.0,2.0,3.25872389386347e-16,0
43,-1.8982558512463562e-15,-2.4424906541753397e-16,-76.67425742937695,-5.052277091991343e-16,-1.2455309430313401e-16,-1.0,2.0000000000000004,1.4818622381648283e-15,0
44,-1.9507230721629912e-15,-4.6088388884022655e-17,-78.67651406626904,4.942687041573735e-16,1.4479583227026573e-16,-1.0,2.0,1.282221634232847e-15,0
45,8.104973536794667e-17,3.355877668973714e-16,-80.67877070316112,5.222703159689989e-16,2.1802975093152352e-17,-1.0,2.0,3.2441434006205617e-16,0
46,1.4071534063831755e-16,4.122191428449158e-17,-82.6810273400532,5.392639236631973e-17,-3.675625468131588e-17,-1.0,1.9999999999999998,1.8981492250549577e-16,0
47,2.9699868940616734e-16,1.8839685713145044e-16,-84.68328397694529,-1.122449655400362e-16,8.951359380607797e-17,-1.0,2.0,2.0884182008761526e-16,0
48,-3.087711137822057e-16,3.996802888650565e-16,-86.68554061383739,-1.0162315122229928e-16,-5.583314285447254e-17,-1.0,2.0000000000000004,6.073140861167981e-16,0
49,-1.0995256858730757e-16,-3.518770454637343e-17,-88.68779725072947,7.67197169249131e-17,1.2758305426441411e-16,-1.0,1.9999999999999991,8.494364286053518e-16,0
50,-1.5459889954271783e-18,9.105883231768288e-16,-90.69005388762156,-2.7128000809483927e-16,-5.721918112899608e-17,-1.0,2.0,6.002474890057214e-16,0
51,-1.1962969619153686e-15,-2.643226748924989e-16,-92.69231052451364,-2.6072461798502253e-16,-1.6663051331618824e-16,-1.0,2.0000000000000004,1.0772816506356619e-15,0
52,-1.0456211825187567e-15,2.4331422078468313e-16,-94.69456716140573,3.464902873060348e-16,-4.514678426133139e-17,-1.0,2.0000000000000004,8.376342242208087e-16,0
53,1.9122799283893854e-16,-4.451135717356707e-16,-96.69682379829781,1.89311026252395e-16,-7.247315049583729e-17,-1.0,2.0000000000000004,6.204425447580382e-16,0
54,-2.875226650173375e-16,-4.6905472368855063e-17,-98.6990804351899,2.370209855970469e-17,5.569897451134668e-17,-1.0,1.9999999999999998,2.304265763365491e-16,0
55,2.861433611378166e-16,-2.2206628896881676e-16,-100.70133707208198,8.194431799704106e-17,1.7151808405062449e-16,-1.0,2.0,2.6127917847709276e-16,0
56,4.062444411300445e-17,6.399409719058996e-16,-102.70359370897407,-8.547351423326126e-17,3.6321515772326475e-17,-1.0,2.0,4.515000301113234e-16,0
57,-5.613646116625828e-17,-7.661629693457431e-17,-104.70585034586615,6.620563544591735e-17,6.635912654135815e-17,-1.0,1.9999999999999996,4.176836401752305e-16,0
58,3.057457900554962e-16,9.056769749774917e-16,-106.70810698275824,-4.091379640724873e-16,-3.3322296996003478e-18,-1.0,1.9999999999999998,6.510169786810482e-16,0
59,-1.6945348691035703e-15,-8.996025499792179e-17,-108.71036361965034,-3.430318828112506e-16,-1.3190145980108112e-16,-1.0,2.0000000000000004,1.2266679463913702e-15,0
60,-1.0679299379933327e-15,3.7747582837255326e-16,-110.71262025654241,-3.380864083401428e-19,2.1304021677187303e-17,-1.0,2.0000000000000004,9.639435273594668e-16,0
61,-1.6958887406134544e-15,-4.648017406639543e-18,-112.71487689343451,2.794592971893675e-16,-1.2983603666589603e-16,-1.0,2.0000000000000004,1.355199909595506e-15,0
62,5.116852708388462e-17,-1.4245430387155557e-16,-114.71713353032658,3.359203579557149e-16,5.895617526743266e-17,-1.0,2.0,9.237613944200126e-17,0
63,-3.50691208245469e-16,2.314427690233397e-16,-116.71939016721866,-6.848123042080575e-17,7.76068816525105e-17,-1.0,2.0,3.720617132469613e-16,0
64,-2.230654691413043e-16,1.6832348384291983e-16,-118.72164680411075,-3.245217617015776e-16,-5.779548054903326e-17,-1.0,1.9999999999999998,2.9373740229761033e-16,0
65,-1.6502429106112643e-15,3.944304526105059e-31,-120.72390344100285,1.8487985425668675e-16,-1.1148040696573251e-17,-1.0,2.0000000000000004,1.355199909595506e-15,0
66,5.172883612848805e-16,1.2368100689680612e-16,-122.72616007789492,5.335542826341509e-16,3.326915254025924e-17,-1.0,1.9999999999999996,5.551115123125783e-16,0
67,4.863822964815835e-16,1.3322676295501885e-16,-124.72841671478702,-5.023517435724883e-17,-4.9389828474555243e-17,-1.0,1.9999999999999996,5.551115123125783e-16,0
68,3.1612093876041545e-16,-7.41012168194737e-17,-126.73067335167909,-1.6782282690050465e-16,-4.9230026726446844e-17,-1.0,1.9999999999999996,3.931265325747076e-16,0
69,-1.856664414854704e-16,-6.391553253978697e-17,-128.7329299885712,5.275670865126285e-18,2.791679745794009e-16,-1.0,1.9999999999999996,3.9553099861723575e-16,0
