i,x,y,z,dx,dy,dz,radius,rmse,bend
119,-6.816610205023568e-17,-7.055803582674976e-17,-232.72349779265056,-1.6834672527794726e-16,-4.270370942003977e-16,-1.0,1.9999999999999991,4.073404867329338e-16,0
134,-1.1414353670521776e-15,-8.197873217961767e-16,-262.75151200633644,-1.0972183609168672e-16,1.7736520935609326e-17,-1.0,1.9999999999999996,1.0245009468026819e-15,0
149,-1.8983292820977448e-16,4.476815042685121e-16,-292.77952622002226,5.3079711272004746e-17,3.054614813416953e-18,-1.0,1.9999999999999993,4.073404867329338e-16,0
161,-4.779394453793941e-16,-5.773159728050815e-16,-316.80193759097097,-1.2529922596253426e-16,5.352117111547518e-17,-1.0,1.999999999999999,7.319185893623502e-16,0
180,-1.3158253597874639e-15,6.217248937900894e-16,-354.8374222616397,-1.329572074424772e-16,-6.411563192882789e-17,-1.0,2.0,1.1676642847412755e-15,0
195,-9.216617465480006e-16,-8.004824650421606e-17,-384.8654364753255,1.7391452414154808e-16,8.79136680269474e-17,-1.0,1.9999999999999998,7.048621611840166e-16,0
204,-0.04145117622122392,1.8224022990482184e-09,-402.8789784779927,-0.028791729649922843,4.623798807518139e-11,-0.9995854322186601,1.999999997289789,1.3989121654550673e-08,1
210,-1.1058211958787096,2.0635895554273323e-09,-414.8304213933979,-0.14830163186230083,2.720172755395708e-10,-0.9889421752493814,1.9999999967963926,1.6418655071000117e-08,1
221,-6.333336698128922,-3.461416388574545e-09,-435.02222416338566,-0.35070994180504617,6.489091599219528e-10,-0.9364841358608811,2.000000138188795,1.0120604628050753e-07,1
227,-11.160472252475863,6.737920537302345e-10,-445.90793296983355,-0.459070272083136,-6.4580424203748e-10,-0.8883999579522253,1.9999999991050945,6.942489411808537e-09,1
236,-20.798427059518122,4.298951945004815e-11,-461.050068335373,-0.610496843231941,2.30101363036027e-12,-0.7920186894283713,2.0000000000178044,3.704584772456194e-10,1
241,-27.2892944055094,6.036002019082589e-11,-468.65240922177264,-0.6865287535867469,-5.509113743966782e-11,-0.7271026547184569,1.999999999978026,3.945846974430571e-10,1
250,-40.75980742655699,-1.0339134624566874e-10,-480.5642574834476,-0.8056492724997522,-4.7915582642290705e-11,-0.5923928170737894,1.9999999999943487,1.0646590124400422e-09,1
256,-50.82520575502588,1.3409160551776038e-12,-487.0737596004887,-0.8707305909998632,-5.093960766291707e-10,-0.49176034599897234,2.0000000001095426,7.395129364332764e-11,1
265,-67.0174854203256,-7.770761781122621e-10,-494.4042039926304,-0.9441792397340626,1.087371518180574e-12,-0.329432183089642,2.0000000894644003,6.317080397181002e-08,1
272,-80.048171385996,-8.83116334223325e-13,-497.9894103204892,-0.9798940936890053,1.3502656338389497e-10,-0.19951833287546009,1.9999999999934361,6.493130692477334e-11,1
280,-95.92850186895801,-5.1307042840266507e-11,-499.91708013633286,-0.9991707729376529,1.0557425509336033e-11,-0.0407156788863106,1.9999999999484215,3.509040857255579e-10,1
287,-109.93985818270086,3.2622485027783673e-16,-500.0,-1.0,0.0,0.0,2.0000000000000027,8.347711874803387e-15,1
303,-141.96974001063245,4.462734664910877e-16,-500.0,-1.0,0.0,0.0,2.0000000000000027,8.343224178022699e-15,0
318,-171.99775422431833,3.552713678800501e-16,-500.0,-1.0,-5.610305767149329e-17,0.0,2.000000000000002,8.308833071397942e-15,0
327,-190.01456275252986,-6.864586968248585e-17,-500.0,-1.0,0.0,0.0,2.0000000000000027,8.375719653093009e-15,0
333,-202.0257684380041,1.0764657138717146e-15,-500.0,-1.0,5.54593628831697e-17,0.0,2.000000000000002,8.338279236373645e-15,0
348,-232.05378265169,4.55506343353459e-16,-500.0,-1.0,-8.17700379608706e-17,0.0,2.0000000000000018,8.323996332411284e-15,0
364,-264.0836644796216,1.3825952961817366e-16,-500.0,-1.0,-2.1928702142949883e-15,0.0,2.0000000000000018,8.296899639740403e-15,0
374,-284.1023406220788,7.035726486900089e-17,-500.0,-1.0,0.0,0.0,2.0000000000000027,8.376398838923924e-15,0
379,-294.11167869330745,1.1102230246251575e-16,-500.0,-1.0,2.547471601711008e-16,0.0,2.0000000000000018,8.297356737716908e-15,0
394,-324.1396929069932,1.058475589660954e-15,-499.99999999999994,-1.0,4.714045845069287e-16,0.0,2.000000000000002,8.336175326194896e-15,0
409,-354.1677071206791,-8.88178419700126e-17,-499.99999999999994,-1.0,1.4909431049744087e-18,0.0,2.0000000000000018,8.307349463280572e-15,0
421,-378.1901184916278,1.3322676295501869e-15,-499.99999999999994,-1.0,1.7663495615412845e-16,0.0,2.0000000000000027,8.37294573916561e-15,0
440,-416.22560316229647,8.746782674483886e-16,-499.99999999999994,-1.0,3.0502649585742425e-16,0.0,2.0000000000000018,8.293299112775143e-15,0
445,-426.2349412335251,1.3322676295501869e-15,-499.99999999999994,-1.0,1.8125845052271488e-16,0.0,2.0000000000000027,8.37294573916561e-15,0
455,-446.2536173759823,1.0912914909270239e-16,-499.99999999999994,-1.0,1.3231551934066887e-17,0.0,2.0000000000000018,8.297356737716908e-15,0
468,-472.2778963611768,1.524507302368473e-16,-499.99999999999994,-1.0,8.315814519520021e-18,0.0,2.0000000000000013,8.321774876014388e-15,0
474,-484.2891020466511,3.987321081195333e-16,-499.99999999999994,-1.0,1.0543772271067781e-17,0.0,2.000000000000002,8.310601642617498e-15,0
483,-502.30551332255493,-4.825029969608413e-12,-500.02658049113126,-0.999734181235616,-2.8060038839751377e-11,-0.023055733975566886,1.999999999247252,4.426162488493004e-09,1
488,-512.2831006866339,-4.1003969517643137e-11,-500.7572398735179,-0.9924276843155402,2.10655317647702e-12,-0.12283033584621683,1.9999999999792026,1.7767779495567946e-10,1
499,-533.2307815074312,1.1194038978671873e-11,-505.682901018867,-0.9432532156200089,-4.0517435829890554e-10,-0.3320743459265004,2.0000000318224016,2.2049753794441105e-08,1
509,-551.1691122611182,1.1736237369689733e-10,-514.0830520187445,-0.8591883681595924,1.442022902333374e-12,-0.5116594062648087,2.000000000190575,2.522288584373343e-09,1
516,-562.6483144906847,3.6046394838878145e-10,-522.0565032123745,-0.779428397171226,1.8921063290858893e-10,-0.6264913197188715,1.9999999998699824,1.7433513208367313e-09,1
525,-575.5979232549638,8.007277524284531e-10,-534.5404399682401,-0.6545947504294792,-1.4699453242073682e-10,-0.7559799684582705,1.9999999996015758,3.583583261138593e-09,1
530,-581.7558165042432,8.767051998885578e-10,-542.4153973033376,-0.5758406950715865,-9.917390098098568e-11,-0.8175619205292477,1.9999999995915978,2.5859500830795683e-09,1
540,-591.5365836259936,-4.689336820873074e-10,-559.7376868760806,-0.4026288822866155,-1.46169754114902e-10,-0.9153633066431224,1.9999999994733326,2.413259830164404e-09,1
547,-596.1805957579779,-1.4810541620385247e-11,-572.6267831926085,-0.2743490528673046,-2.2250561066382904e-10,-0.9616301769343623,2.0000002129667265,1.492273502436366e-07,1
556,-599.472424091215,2.4536757640502666e-10,-589.741498870905,-0.1025854679371451,-4.874813757152058e-11,-0.9947241938186266,1.9999999999759632,5.616996244598343e-10,1
563,-600.0,7.849945183763215e-17,-603.7305972955642,0.0,-5.74076213689589e-16,-1.0,1.9999999999999931,2.6772245702462602e-14,1
568,-600.0,-4.884981308350685e-16,-613.7399353667926,0.0,-3.010336835991507e-16,-1.0,1.9999999999999931,2.6796954258452134e-14,1
578,-600.0,6.661338147750925e-17,-633.7586115092498,0.0,1.7471156155517432e-16,-1.0,1.9999999999999931,2.6772245702462602e-14,0
593,-600.0,6.661338147750925e-17,-663.7866257229358,0.0,-1.7202097287878047e-16,-1.0,1.9999999999999931,2.6772245702462602e-14,0
