i,x,y,z,dx,dy,dz,nx,ny,nz,bx,by,bz,qx,qy,qz,qw,o,a,t,radius,rmse,bend
10,8.288471766579416e-16,13.630911295166168,1.6735898823718236e-15,9.373330301262672e-18,1.0,1.3219417620899253e-17,-1.0534704701982202e-31,-1.3219417620899253e-17,1.0,1.0,-9.373330301262672e-18,1.05223137052071e-31,4.392608138863174e-17,3.4578541545556935e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,2.0,1.4895204919483639e-15,0
11,-7.192172516512533e-17,15.632174339589392,1.484050061738476e-16,7.380341629265627e-18,1.0,-2.5329035681586496e-18,-1.0523078950799286e-31,2.5329035681586496e-18,1.0,1.0,-7.380341629265627e-18,1.0524948320163987e-31,3.835679482252604e-17,4.014782811166263e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,4.038339036688484e-16,0
12,-9.817705979236827e-16,17.633437384012616,-6.288663293916559e-16,-1.8730285377727986e-17,1.0,2.2223690193489253e-17,-1.0476709144185672e-31,-2.2223690193489253e-17,1.0,1.0,1.8730285377727986e-17,1.0518334750132698e-31,4.7109572486496944e-17,3.139505044769172e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999998,7.994080217505557e-16,0
13,-7.680131897810562e-16,19.634700428435835,1.1299586378225392e-15,-8.059750037647578e-18,1.0,2.2905522363691582e-17,-1.0476159604499726e-31,-2.2905522363691582e-17,1.0,1.0,8.059750037647578e-18,1.0494620882973037e-31,4.735063656208755e-17,3.1153986372101125e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.999999999999999,1.1093686781926447e-15,0
14,-8.490628626898034e-16,21.63596347285906,1.3362027164143805e-16,-2.9453926545053335e-17,1.0,-2.09510571049171e-17,-1.0605334451518297e-31,2.09510571049171e-17,1.0,1.0,2.9453926545053335e-17,1.0543625361817351e-31,3.184499419113759e-17,4.6659628743051074e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,7.54876298480092e-16,0
15,4.61241392630545e-16,23.637226517282286,3.096916145590333e-16,-9.346294990096978e-18,1.0,-2.4080154452653626e-17,-1.0608258998204764e-31,2.4080154452653626e-17,1.0,1.0,9.346294990096978e-18,1.0585752975512605e-31,3.0738691214348926e-17,4.776593171983974e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999993,4.108171399920238e-16,0
16,-8.881784362411114e-17,25.638489561705505,5.551115123125783e-17,3.5188521493997217e-17,1.0,4.9889925175327415e-17,-1.0868548771894953e-31,-4.9889925175327415e-17,1.0,1.0,-3.5188521493997217e-17,1.069299350145836e-31,5.689106366927608e-17,2.16135592649126e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.999999999999999,6.181460191301304e-16,0
17,4.440892098500729e-17,27.63975260612873,9.808255689754687e-16,4.914244162317934e-17,1.0,5.260977177350242e-17,-1.0881914762162435e-31,-5.260977177350242e-17,1.0,1.0,-4.914244162317934e-17,1.0623377498343622e-31,5.785267465595443e-17,2.0651948278234247e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999998,7.195067539997724e-16,0
18,4.440892098500729e-17,29.64101565055195,9.808255689755192e-16,6.333871426791133e-17,1.0,4.510214535991067e-17,-1.0834362421738363e-31,-4.510214535991067e-17,1.0,1.0,-6.333871426791133e-17,1.0548691231956245e-31,5.519832788212144e-17,2.330629505206723e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999998,7.195067539997724e-16,0
19,-2.6168488551686655e-16,31.64227869497516,1.0690811417583195e-15,1.1955067620924476e-17,1.0,4.662683139923736e-17,-1.0836185194208445e-31,-4.662683139923736e-17,1.0,1.0,-1.1955067620924476e-17,1.0780442501975712e-31,5.573738580091562e-17,2.2767237133273045e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999998,8.477604590109237e-16,0
