i,x,y,z,dx,dy,dz,radius,rmse,bend
0,-162.68548757609287,-3.3547214204795816e-16,-500.0,-1.0,2.6768244906084756e-18,2.2028433436365762e-16,2.000000000000003,8.419977993222965e-15,1
1,-420.7311585268366,3.552708296484889e-16,-499.99999999999994,-1.0,8.989045063499872e-18,1.9815670167818497e-16,2.000000000000002,8.308833071397942e-15,1
2,-449.546433380107,2.2431338267425195e-15,-499.99999999999994,0.6449984068737858,-6.877682648881487e-19,0.7641839144671119,2.5697939010408963,0.3923030709681155,1
3,0.48187579467948727,-9.387284989593146e-17,-0.9534566875715506,0.6704500753980709,-2.8194013788358178e-18,0.7419546457828274,1.9674746113680062,0.23443121662782831,1
4,-1.868419097706287e-16,3.5268458878835146e-16,-2.5087221543917284,-0.13424130287672534,5.439911888234166e-18,-0.9909486730411213,2.0094860774276335,0.00657287355126819,1
5,4.1041209066821086e-17,-7.434561194490798e-17,-4.5105897686380985,-2.8829341782646256e-16,-4.532770900550445e-17,-1.0,1.999999999999999,6.142993979600581e-16,1
6,-1.3410924228648269e-15,1.7120444341617506e-16,-6.51245738288382,3.8722605592043976e-17,2.570443234604974e-16,-1.0,2.0000000000000004,1.3666951924774952e-15,1
7,1.9607626921466738e-16,9.547918011776356e-16,-8.514324997129544,2.5110793480873523e-16,-1.8696039144236086e-16,-1.0,1.9999999999999991,7.396503383165477e-16,1
8,-3.3572273811735994e-16,-5.77335462134156e-16,-10.516192611375267,-5.604541554912286e-17,-3.110557706067751e-16,-1.0,1.999999999999999,8.175853711751645e-16,1
9,-2.831473541479785e-17,-2.9059314562626255e-16,-12.518060225620985,-2.016088516921145e-16,3.0144596315393136e-16,-1.0,1.9999999999999991,4.430204015378811e-16,1
10,-1.1429112000127855e-15,6.295743600317727e-16,-14.51992783986671,-1.0918322555283005e-16,1.114020642273692e-16,-1.0,2.0000000000000004,1.3236999031925836e-15,1
11,-4.654554619209911e-16,1.5543122344752235e-16,-16.521795454112432,2.459448438125358e-16,-3.529173739201388e-16,-1.0,1.9999999999999996,3.858232365415635e-16,1
12,-1.5821316457471097e-16,-7.834133626789732e-16,-18.52366306835815,2.761473668682891e-16,-5.545936288316857e-18,-1.0,1.9999999999999996,6.480976053227864e-16,1
13,6.401654790647298e-16,1.3322676295501905e-16,-20.52553068260388,4.7072444165819464e-17,3.5985717251162407e-16,-1.0,1.9999999999999991,5.906938687171747e-16,1
