i,x,y,z,dx,dy,dz,radius,rmse,bend
0,-549.9999999999999,-214.58664634609897,-499.99999999999994,-4.3717947966509283e-16,-1.0,0.0,1.9999999999999558,2.5409782582107695e-14,1
1,-550.0,-474.63278988583545,-499.99999999999994,0.7121994362985424,0.2780051337389666,0.6445813436260917,4.685976967043439,1.719667060338824,1
2,0.22269245439969393,0.19130124255840428,-2.0169009974424226,0.6243242364414974,0.5387722802464944,0.5656356405228848,2.491378960371111,0.3359955924212925,1
4,-75.98311957725826,1.2885581490706954e-11,-499.999999999997,-3.0949271732055e-14,-1.1251454292556719e-15,1.0,2.0151648823400303,0.010416157692074286,1
5,-7.19929636952285e-15,-3.627859819190998e-16,-1.469932189998964,0.15106461691264683,-2.5617864252549993e-14,0.9885238902105681,2.0120570919417378,0.008354301430303383,1
13,-1.3334415636689585e-15,-2.2273826444911867e-16,-16.606558322614404,1.2518085071448307e-16,-6.936529604428496e-17,-1.0,1.9999999999999998,9.639435273594668e-16,1
26,8.502559077398371e-17,1.1102230246251565e-16,-42.63589460221152,3.505851925366145e-16,7.939012795146746e-17,-1.0,2.0,1.411068838002555e-16,0
34,-6.744065645328648e-16,-6.461493561689394e-17,-58.65394769734819,3.7531283788245e-16,1.1987890572670922e-17,-1.0,2.0,4.440892098500626e-16,0
55,2.861433611378166e-16,-2.2206628896881676e-16,-100.70133707208198,8.194431799704106e-17,1.7151808405062449e-16,-1.0,2.0,2.6127917847709276e-16,0
76,-1.4927653511654316e-15,2.431897335448502e-16,-142.74872644681577,-5.943948382552741e-17,-5.1963358009140027e-17,-1.0,2.0000000000000004,1.218135849534745e-15,0
90,9.325068153499888e-16,-4.880111281901563e-16,-170.78031936330495,-3.22185460924645e-17,-8.317288135064815e-17,-1.0,2.0000000000000004,8.779783897215968e-16,0
97,-1.1969424573958777e-15,4.192693078995012e-16,-184.79611582154956,3.2014046336353485e-16,-1.7607744611925902e-17,-1.0,2.0,9.853454873813468e-16,0
117,-1.343166162801272e-16,1.3484020683237602e-16,-224.84124855939126,1.186875936971486e-16,-4.7827034543931595e-17,-1.0,2.0,2.345052394619758e-16,0
122,5.5206962186015924e-17,1.572418863909036e-16,-234.8525317438517,6.304159869839186e-18,-2.0741968614159965e-16,-1.0,2.0,1.4442750009013647e-16,0
138,3.742442971662968e-16,-2.3441375924612223e-16,-266.88863793412514,-8.761313968432512e-17,-1.0234555657377274e-16,-1.0,1.9999999999999996,5.359939256369156e-16,0
155,-1.7314038447237241e-15,-9.547613078835824e-16,-300.92700076129057,-3.5863059358385757e-16,5.5448587567099364e-17,-1.0,1.9999999999999998,1.3020339573620963e-15,0
180,6.533202833174986e-16,-2.48713154959779e-16,-350.9834166835927,3.6081063984751947e-16,4.731952614980259e-15,-1.0,1.9999999999999998,5.288707661687597e-16,0
187,-1.7180160517024101e-15,-3.960332433718535e-18,-364.9992131418373,-3.4151465171362524e-16,-6.468334932656375e-17,-1.0,2.0000000000000004,1.2200802016892467e-15,0
201,4.2111748663075504e-16,1.6275882215351338e-16,-393.0308060583265,4.3011109604735307e-16,-1.837517001843633e-17,-1.0,2.0,3.7712401006848444e-16,0
220,2.364951002768814e-16,-4.444273407560211e-16,-431.07368215927613,3.326915254025152e-16,-1.718906214580053e-16,-1.0,2.0000000000000004,6.204425447580382e-16,0
230,-0.011739689118530362,5.857277044028081e-11,-451.0834308558887,-0.023347857079139066,3.4238216646896905e-10,-0.9997274016299704,2.0000014662900156,1.0169728496596386e-06,1
237,-1.9719979483844192,-6.232082853247475e-10,-463.9036255594788,-0.2860961770270204,6.784117763988404e-10,-0.9582009066425078,2.0000363596270043,2.5212718111331235e-05,1
243,-6.484707503067006,5.01422354158565e-10,-474.6255826098349,-0.49259568403558057,-1.986703595834058e-11,-0.8702582904342356,2.000000004372376,5.627404372094658e-09,1
249,-13.552377284684516,2.724496973706742e-12,-484.2282164063948,-0.6844790000644898,-5.4531627599333383e-11,-0.7290325770983873,2.000000007053767,5.069656696114174e-09,1
256,-24.370345091130787,-9.737769997577893e-11,-492.93158265445976,-0.8585778708796522,7.13668994528718e-11,-0.5126831766654366,2.000000005638345,4.121720101364204e-09,1
264,-38.59844197651588,1.2631368175434255e-11,-498.6826917357401,-0.9736527135430527,-2.1165875751811465e-10,-0.22803594762723287,1.9999999999946183,1.7538594164722608e-10,1
269,-48.50881626230767,1.3882765994990423e-10,-499.97775875076405,-0.9995355146615068,2.2964545145974442e-12,-0.030475480805997768,2.000000220997688,1.5335786340658436e-07,1
279,-68.53112347960722,3.711305397156935e-16,-499.99999999999994,-1.0,-4.7342140816749134e-17,0.0,2.000000000000002,8.310601642617498e-15,0
284,-78.54240666406771,4.047076943518502e-16,-499.99999999999994,-1.0,1.9238090553138536e-15,0.0,2.000000000000002,8.310601642617498e-15,0
306,-122.59205267569345,3.6382543084061646e-16,-499.99999999999994,-1.0,2.8431554099975953e-16,0.0,2.000000000000002,8.310601642617498e-15,0
317,-144.61687568150649,3.552713678800501e-16,-499.99999999999994,-1.0,4.3978358432258896e-17,0.0,2.000000000000002,8.310601642617498e-15,0
327,-164.6394420504273,1.1102229046039467e-16,-499.99999999999994,-1.0,8.036786180375885e-17,0.0,2.0000000000000018,8.297356737716908e-15,0
347,-204.68457478826906,3.7279969074339014e-16,-499.99999999999994,-1.0,-2.0927147847871877e-16,0.0,2.0000000000000018,8.326274133551887e-15,0
368,-246.73196416300277,-3.3481405347954246e-16,-499.99999999999994,-1.0,-1.3768326630210123e-16,0.0,2.0000000000000018,8.333160691619825e-15,0
381,-272.7613004425999,1.3265806996027855e-15,-499.99999999999994,-1.0,4.822855379658926e-17,0.0,2.000000000000002,8.339473111437899e-15,0
389,-288.7793535377366,-7.084889953159762e-17,-499.99999999999994,-1.0,6.179901445009184e-18,0.0,2.0000000000000018,8.316646173529459e-15,0
410,-330.8267429124704,-3.8717114222620583e-16,-499.99999999999994,-1.0,5.5448345206021086e-17,0.0,2.0000000000000018,8.353445798441905e-15,0
431,-372.87413228720425,3.552713678800501e-16,-499.99999999999994,-1.0,-5.11046044305891e-17,0.0,2.000000000000002,8.310601642617498e-15,0
445,-400.9057252036934,6.761199030606281e-17,-499.99999999999994,-1.0,-4.6899833111642096e-17,0.0,2.0000000000000018,8.297356737716908e-15,0
451,-412.9192650250459,1.241417817523309e-16,-499.99999999999994,-1.0,-9.902037048846869e-18,0.0,2.0000000000000018,8.296899639740403e-15,0
472,-454.9666543997797,8.820144000585075e-16,-499.99999999999994,-1.0,-8.796798366536826e-16,0.0,2.0000000000000018,8.293299112775143e-15,0
477,-464.97793758424007,-1.0926404412238312e-15,-499.99999999999994,-1.0,-2.9143293691373203e-16,0.0,2.0000000000000018,8.392400371438221e-15,0
485,-480.99599067937686,3.7669278663867444e-16,-499.99999999999994,-1.0,5.0589785296645114e-18,0.0,2.0000000000000018,8.326274133551887e-15,0
493,-497.01404377451354,-6.191284783343353e-16,-499.99999999999994,-1.0,-3.868898932403834e-16,0.0,2.0000000000000018,8.309289512910709e-15,1
498,-507.00174029920936,-0.4926709185045271,-499.9999999999997,-0.9901465463023342,-0.14003505577375894,4.685483091026973e-13,1.9999999999922249,3.3087568584360985e-11,1
506,-519.3415690782701,-3.892477479380065,-500.000000000088,-0.9240156548156391,-0.3823546385956705,-2.8905165774321775e-11,2.000012226941464,8.477758034400209e-06,1
512,-528.800498808121,-9.127866862946519,-499.99999999999903,-0.8170783260147038,-0.5765266768823534,2.8910332458917973e-14,2.000000207799944,1.4407349212434976e-07,1
518,-537.6385898526345,-17.085921646379813,-500.0000000000026,-0.6581992173889114,-0.7528438020124921,5.579799033065335e-13,2.0000000062192904,4.312876959292918e-09,1
525,-545.184880746312,-28.591437426717576,-499.99999999999955,-0.42781151774898185,-0.9038679689430933,-3.667671045890446e-12,2.000000082359647,5.710220867500276e-08,1
533,-549.5514230895203,-43.317450351609715,-499.99999999999835,-0.13364470414701335,-0.9910293098861693,1.9087152732558449e-13,2.00000000001844,1.5895268582347097e-11,1
545,-549.9999999999999,-67.1927590077579,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,1
558,-549.9999999999999,-93.2220952873551,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
577,-549.9999999999999,-131.2649713883046,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
600,-549.9999999999999,-177.3168740368227,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
609,-549.9999999999999,-195.33718376885128,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
620,-549.9999999999999,-217.36200677466434,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
641,-549.9999999999999,-259.4093961493976,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
662,-549.9999999999999,-301.456785524132,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
673,-549.9999999999999,-323.48160852994476,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
683,-549.9999999999999,-343.5041748988657,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
704,-549.9999999999999,-385.55156427359935,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
724,-549.9999999999999,-425.5966970114414,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
745,-549.9999999999999,-467.64408638617505,-499.99999999999994,0.0,-1.0,0.0,1.9999999999999563,2.537382339590167e-14,0
762,-549.9999999999999,-498.9182890778114,-499.99999999999994,0.0,-1.0,0.0,2.0218428628897254,0.01613358401360465,1
765,-545.8798970329038,-30.13859295483583,-500.0000000000854,0.008814938419540874,0.9999611476755784,-1.8278913778277253e-13,2.088937625101144,0.06169898931258297,1
